wavelength (nm);29/5/2023;29/5/2023;29/5/2023;29/5/2023
190;91.19100;103.57200;131.84200;168.08700
190.5;87.05300;100.71700;127.23400;162.83400
191;84.14600;99.49700;123.07400;157.61200
191.5;81.96800;99.86400;119.11700;152.51200
192;80.32900;98.24400;115.43100;148.74600
192.5;78.29200;96.18600;112.11100;145.26300
193;76.56900;93.69600;109.31300;142.16100
193.5;74.92900;90.94000;106.75100;139.41500
194;73.27300;88.75400;104.31900;136.66200
194.5;71.83800;87.11000;101.97000;134.21100
195;70.41200;85.05900;99.71100;131.54000
195.5;68.67500;83.15600;97.70100;128.65300
196;67.20000;82.21100;95.61200;125.88900
196.5;65.93800;81.08700;93.95900;123.36900
197;64.73100;79.41900;92.15900;120.94600
197.5;63.52300;77.97500;90.50500;118.47800
198;62.57200;76.87300;89.11500;116.22900
198.5;61.38700;75.90600;87.68000;114.06200
199;59.94900;74.97800;86.47900;111.92900
199.5;58.33200;73.66400;85.30200;110.13200
200;57.04200;72.43300;83.97100;108.39400
200.5;55.84600;70.95500;82.90500;106.90300
201;54.96500;69.91400;81.45700;105.35800
201.5;54.38900;68.64100;80.09400;103.62900
202;53.77200;67.66200;78.55800;102.36500
202.5;53.28300;66.92200;77.61600;101.05400
203;53.04900;66.38900;76.65500;99.64100
203.5;52.56600;65.65100;75.64800;98.26500
204;51.85800;64.97700;74.75000;96.76200
204.5;51.07500;64.24500;73.84700;95.42400
205;50.05600;63.56400;73.06600;93.93400
205.5;49.13000;62.77000;72.41200;92.47800
206;48.21300;62.14300;71.54100;91.29500
206.5;47.54700;61.37100;70.53200;90.08100
207;46.86700;60.54700;69.52100;88.89400
207.5;46.30400;59.86600;68.60100;87.67400
208;45.76300;58.78400;67.46100;86.29200
208.5;45.44000;57.56400;66.33500;84.97400
209;44.69700;56.52200;65.07100;83.36200
209.5;43.95100;55.63000;64.01300;81.83400
210;43.33500;54.68900;63.00000;80.34100
210.5;42.73200;54.06300;62.11900;79.07800
211;41.82900;53.27600;61.43800;78.13600
211.5;41.09500;52.41800;60.66400;76.95900
212;40.36300;51.53800;59.95500;76.06000
212.5;39.56900;50.88000;59.25500;74.87400
213;38.93400;49.84300;58.36000;73.64800
213.5;38.39900;49.17800;57.45900;72.37700
214;37.65000;48.39500;56.53300;70.88100
214.5;37.20700;47.59700;55.64400;69.63800
215;36.89500;46.88700;54.68100;68.44300
215.5;36.67200;46.11300;53.91700;67.19200
216;36.00300;45.31600;53.25800;66.11500
216.5;35.59800;44.62600;52.56800;65.08700
217;35.16200;43.90400;51.82300;64.02000
217.5;34.79000;43.50200;51.02900;62.81900
218;34.32000;42.97800;50.18400;61.82800
218.5;33.90800;42.51900;49.32600;60.78200
219;33.41200;41.82700;48.45800;59.83800
219.5;32.77800;41.14900;47.59300;59.01800
220;32.05800;40.38900;46.90900;58.07500
220.5;31.51800;39.59600;46.28300;57.05000
221;30.75800;38.93000;45.55600;56.15600
221.5;30.35500;38.36200;44.75300;55.00100
222;29.89000;37.70400;43.98700;53.91400
222.5;29.43400;37.22800;43.21600;52.74700
223;28.94300;36.76900;42.51900;51.72700
223.5;28.58800;36.05900;41.77600;50.71500
224;28.04800;35.34700;41.05200;49.85300
224.5;27.41800;34.56500;40.33300;48.95000
225;26.86900;33.82400;39.75900;48.02800
225.5;26.37700;33.07600;39.08500;47.20700
226;25.86300;32.35400;38.27400;46.21400
226.5;25.43500;31.67900;37.38800;45.13200
227;24.95100;31.05700;36.61100;44.10200
227.5;24.46800;30.57400;35.88000;43.10600
228;24.08000;30.07500;35.35500;42.32600
228.5;23.71900;29.53800;34.94500;41.66100
229;23.33200;29.05200;34.59500;41.12900
229.5;22.97400;28.65100;34.29400;40.64200
230;22.69700;28.25000;34.05100;40.20900
230.5;22.41200;27.91600;33.77100;39.78800
231;22.16500;27.56200;33.37800;39.24500
231.5;21.92400;27.20800;32.88900;38.63300
232;21.65200;26.88300;32.39800;38.03100
232.5;21.27700;26.51200;31.94600;37.48600
233;20.94900;26.08700;31.52900;36.92600
233.5;20.67300;25.69400;31.12400;36.39300
234;20.38700;25.37300;30.73300;35.83700
234.5;20.16900;25.03200;30.40700;35.31400
235;19.94400;24.67700;30.10300;34.89200
235.5;19.80100;24.42100;29.78600;34.48700
236;19.63000;24.15300;29.50900;34.13700
236.5;19.48100;23.87200;29.18900;33.76600
237;19.22700;23.62500;28.96300;33.41400
237.5;18.97100;23.40100;28.65700;33.01800
238;18.72800;23.10700;28.31800;32.57500
238.5;18.50700;22.85100;28.03000;32.14600
239;18.30400;22.55500;27.75100;31.72400
239.5;18.10700;22.23900;27.46100;31.35900
240;17.87800;21.96200;27.11100;30.99300
240.5;17.73200;21.75400;26.77100;30.63000
241;17.58600;21.52000;26.50100;30.27400
241.5;17.46600;21.26200;26.24100;29.96100
242;17.33700;21.11200;26.04900;29.64800
242.5;17.25200;21.01400;25.78500;29.32300
243;17.16200;20.87400;25.61000;29.09500
243.5;17.00500;20.71900;25.50900;28.89100
244;16.83300;20.50600;25.37700;28.70000
244.5;16.64000;20.29800;25.16300;28.46200
245;16.43100;20.11300;24.85300;28.15500
245.5;16.26800;19.91500;24.56300;27.83700
246;16.11500;19.73200;24.29500;27.51900
246.5;15.97500;19.53600;24.05600;27.29700
247;15.83000;19.37800;23.83800;27.06300
247.5;15.69000;19.20100;23.67500;26.90100
248;15.59300;19.01000;23.57400;26.77000
248.5;15.43400;18.88000;23.52900;26.62600
249;15.31000;18.70900;23.42800;26.43700
249.5;15.17600;18.56800;23.23200;26.19000
250;14.98100;18.39800;22.95500;25.91600
250.5;14.86100;18.23500;22.69900;25.64400
251;14.68800;18.08200;22.44700;25.43800
251.5;14.49700;17.90800;22.23600;25.25000
252;14.29100;17.75000;22.06000;25.06900
252.5;14.19300;17.53200;21.94800;24.98700
253;14.08700;17.37900;21.85400;24.85600
253.5;13.98900;17.29400;21.73900;24.75700
254;13.95100;17.22800;21.60600;24.65500
254.5;13.89500;17.15400;21.44600;24.50700
255;13.86200;17.02200;21.29900;24.38900
255.5;13.78600;16.88400;21.15200;24.27600
256;13.62000;16.76400;21.04300;24.19400
256.5;13.48500;16.63300;20.96200;24.10000
257;13.34900;16.49500;20.88300;24.04500
257.5;13.21000;16.30300;20.81500;23.97500
258;13.09000;16.24400;20.63600;23.82000
258.5;13.02500;16.16800;20.43200;23.67400
259;12.99000;16.12200;20.25500;23.56000
259.5;12.95100;16.05900;20.09500;23.40500
260;13.00400;16.11300;20.01600;23.34200
260.5;12.99200;16.16800;19.95600;23.25000
261;12.96900;16.20700;19.92000;23.18600
261.5;13.01100;16.13600;19.92100;23.23200
262;12.97800;16.14600;19.98900;23.26400
262.5;12.94300;16.13900;19.96700;23.24700
263;13.01600;16.19200;19.94400;23.22200
263.5;13.03400;16.16100;19.97100;23.18900
264;13.05900;16.19700;19.97900;23.24200
264.5;13.04000;16.16900;20.02200;23.27100
265;13.03200;16.20300;20.05400;23.30500
265.5;13.02100;16.16800;20.08200;23.26700
266;12.99800;16.18400;20.04900;23.23800
266.5;13.03400;16.09000;20.04700;23.30600
267;13.06900;16.21700;20.00400;23.31900
267.5;13.16200;16.27600;19.88700;23.32900
268;13.29000;16.34600;19.87300;23.33100
268.5;13.43100;16.41200;19.90700;23.36800
269;13.59100;16.50600;19.93000;23.47100
269.5;13.65000;16.51300;19.96600;23.53200
270;13.65100;16.49700;19.96000;23.58700
270.5;13.63500;16.51500;19.99100;23.62700
271;13.57200;16.54700;19.99600;23.60100
271.5;13.52400;16.49500;19.95800;23.57300
272;13.52900;16.57100;19.86500;23.54300
272.5;13.52800;16.58600;19.80400;23.50200
273;13.53900;16.67300;19.77100;23.42100
273.5;13.66300;16.75500;19.78600;23.40700
274;13.75100;16.88900;19.76900;23.39400
274.5;13.83700;16.98300;19.74900;23.35900
275;13.94000;16.99800;19.72000;23.36400
275.5;13.98500;17.01000;19.74800;23.36300
276;13.98500;16.87200;19.73300;23.25400
276.5;14.03200;16.79200;19.61400;23.16900
277;14.03300;16.71400;19.54600;23.15600
277.5;14.00900;16.62000;19.49500;23.16100
278;13.94000;16.63700;19.44400;23.12200
278.5;13.95900;16.64700;19.42900;23.12100
279;13.93900;16.71600;19.41300;23.07600
279.5;13.97100;16.73700;19.39000;23.02400
280;14.01500;16.73500;19.38900;22.96900
280.5;14.01300;16.69900;19.38300;22.91000
